affiliation_id,affiliation_name
1,Post-doc at School of Public Health - University of Sao Paulo
2,"Research Staff, Lawrence Livermore National Laboratory"
3,University of Pennsylvania
4,University of Hartford
5,"Debreceni Egyetem, Neurológiai Tanszék"
6,Istituto Italiano di Tecnologia
7,Professor Adjunto Universidade Federal de Ouro Preto
8,"York MRI Facility, Centre for Vision Research, York University"
9,"CNRS Researcher, UMR 6521, University of Brest, France"
10,University of Texas at Rio Grande Valley-School of Medicine
11,Unknown affiliation
12,Michigan State University
13,iran university of medical sciences
14,"Assoc. prof., CAVE lab dir., grad. prog. dir. (BME), Dept. of Engineering, Aarhus University"
15,"Associate Professor, Department of Economics and Statistics University of Naples Federico II"
16,Technical University of Sofia
17,University of Copenhagen
18,"Associate Professor, lektor, Aalborg University"
19,"Escola de Química e Alimentos, Universidade Federal do Rio Grande - FURG"
20,Australian national university
21,Berlin University of Technology em.
22,"Professor, Spatial Hearing Laboratory, Chiba Institute of Technology, Japan"
23,NDVSU
24,"University of California, San Diego"
25,"School of Mathematical Sciences, University College Dublin"
26,University of Chicago
27,Charles Sturt University
28,"PhD student, University of Helsinki"
29,National Chiao Tung University
30,"Department of Physics, National University of Singapore"
31,BMT Program Director. National Center for Cancer Care and Research. Hamad Medical Corporation. Doha
32,"Researcher, Tokyo University of Agriculture and Technology"
33,Professor in Cognitive Development
34,Universidad de Guayaquil
35,Postdoc at Joint Genome Institute
36,NSRI (Nippon Steel & Sumikin Research Institute Corporation)
37,University of Maragheh
38,"Department of Pharmacology, Faculty of Medicine, Tanta University, Egypt"
39,"Ialamic Azad university, Lenjan Branch, Esfahan, Iran"
40,Perugia University
41,"School of Interdiciplinary Mathematical Science, Meiji University"
42,Zonguldak Bulent Ecevit Universitesi
43,"University of Freiburg, Germany and Concept Engineering GmbH, Freiburg, Germany"
44,"Professor of Mathematics, University of Wollongong, Australia"
45,chung nam national university
46,National Defense Academy of Japan
47,"Medical Institute of Bioregulation, Kyushu University"
48,"Lecturer in Psychology,  Nottingham Trent University"
49,"Professor, School of Chemical Engineering, The University of Adelaide, Australia"
50,McGill University
51,"Proffessor, Physics Department, NTUA"
52,"Professor, Ryerson University"
53,Universidad de Guadalajara
54,"Assistant Professor of Business Administration, Technical University of Madrid"
55,Postdoc - Laboraroty of Medicine and Pathobiology - University of Toronto
56,Dong-A University
57,Royal Canin
58,Language Learning Books Author
59,University of Graz
60,University of Nevada at Las Vegas
61,"Tongji University, Shanxi Transportation Research Institute"
62,"Scientist, Los Alamos National Laboratory"
63,Tatung University
64,Aalborg University
65,university of Wisconsin Madison
66,"Institute of Biomedical Sciences, Academia Sinica"
67,ד״ר
68,Instituto Tecnológico de Costa Rica
69,Kean University
70,UC San Diego/Rady Children's Hospitals
71,Professor of public health and community medicine
72,Granada University
73,"GeoBioTec, RISCO / University of Aveiro"
74,German University in Cairo
75,"Associate Professor of Computer Science, Tel-Hai College"
76,"Radboud University, Donders Institute for Brain, Cognition and Behaviour"
77,"Research Scientist, Agriculture and Agri-Fodd Canada"
78,Professor i Neurologi
79,"professor of biochemistry, University of Milan"
80,"Assistant Professor, Department of Farm Forestry, Sant Gahira Guru Vishwavidyalaya, Sarguja"
81,Universität Bremen
82,"Professor of Astronomy, University of Cambridge"
83,Oakwood University
84,The University of Tokyo
85,"Hospital Pablo Tobón Uribe, Universidad Pontificia Bolivariana"
86,"Professor of Law, La Trobe University"
87,"AI Research Manager, Avast"
88,Aon
89,Xi'an Modern Chemistry Research Institute
90,Museo Maritímo del Cantábrico
91,"Research Fellow, University of Surrey"
92,"Leading researcher, Institute of Mechanics, Moscow State University"
93,"Assist. Professor of pediatric Nursing, Qassim University"
94,"Ecologist, Landcare Research, New Zealand"
95,"Investigadora, CONICET"
96,Pesquisadora do Instituto de Pesquisas Tecnológicas
97,Assistant Professor at UAEU
98,Beth Israel Deaconess MEdical Center
99,"PhD student, ETH Zurich"
100,National Cheng Kung University
101,Professor of Management and Sociology; University of Michigan
102,Curtin University
103,"Associate Professor, Department of Studies in Mathematics, Vijayanagara Sri Krishnadevaraya"
104,South Ural State University (Южно-Уральский государственный университет)
105,"Instituto de Matemática e Estatística, Universidade de São Paulo"
106,"Professor of Material Science, Shanghai University"
107,"Professor of Computer Science, Leiden University & University of British Columbia"
108,Brigham and Women Hospital
109,London School of Economics and Political Science
110,"Institute of Petrochemical Synthesis, Russian Academy of Sciences, Moscow"
111,"Professor, Center for Language Engineering, KICS-UET"
112,Christopher Newport University
113,"Project Researcher, D.Sc. (Tech), Åbo Akademi University, Laboratory of Thermal and Flow Engineering"
114,"Pharmacologie, APHM"
115,Department of Computer Information and Network Engineering Lunghwa University of Science and
116,Chung Yuan
117,PhD Student
118,Shahid Beheshti University of Medical Sciences
119,Professor Adjunto (UFSCar  -  Departamento de Física)
120,"Professor de Química, Universidade Federal dos Vales do Jequitinhonha e Mucuri"
121,University of Illinois at Chicago
122,Istituto Nazionale di Geofisica e Vulcanologia
123,University of the Basque Country - UPV/EHU
124,Johnson & Johnson
125,"National Institute for Materials Science (NIMS), Tsukuba, Japan"
126,"Assistant Lecturer, Commerce College, University of Sulaimani, Kurdistan Region"
127,Boston University
128,"University of Nevada, Reno"
129,andhra university
130,"Assistant Professorial Research Fellow, London School of Economics"
131,Profesor Investigador Universidad Autónoma de Nuevo León
132,"Psychology, Indiana University South Bend"
133,IJRM Team Tel: +98 351 824 7085-6 Fax: +98 351 824 8348 Research and Clinical Center for Infertility
134,Democritus University of Thrace
135,PhD Candidate Dalhousie University
136,"Professora de Bioestatística, Universidade Estadual do Oeste do Paraná"
137,"Hunter College, CUNY"
138,"Graduate Research Assistant, University of Maryland, College Park"
139,University of Minnesota
140,"Chemistry, School of Natural and Computational Sciences, Massey University, Albany, NZ"
141,Universidade Federal de Santa Catarina
142,"Assistant professor, Jazan University"
143,"Senior Lecturer, University of Sheffield"
144,"Assistant Professor, Emory University"
145,Servei d´Immunologia. Hospital del Mar
146,"Associate Professor, Division of Packaging Technology, Faculty of Agro-Industry, Chiang Mai"
147,Politecnico di Milano
148,"Paleontology Collections Manager, Cincinnati Museum Center"
149,Institute of Cancer Research
150,"Professor of Biology, University of Nevada Reno"
151,Ph.D. Candidate in the Chemistry Department at Rice University
152,"Head of Clinical Biochemistry and Pharmacology Laboratory, Ente Ospedaliero Cantonale"
153,"Research Fellow in Metrology, University of Nottingham"
154,University of Illinois Urbana-Champaign
155,Director of Intecso
156,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO
157,"Postdoctoral Fellow, Northwestern University"
158,"Post-Doc - Assistance Publique Hôpitaux de Paris, Institut Cochin - Bâtiment Roussy Inserm U1016 - Cnrs UMR8104 - Université Paris Descartes"
159,"Director, Helmholtz-Institute Erlangen-Nürnberg for Renewable Energy (IEK-11), FZ Jülich"
160,National University of Defense Technology
161,Lulea University of Technology
162,Jilin University
163,"Centre for Polymer and Material Technologies, Ghent University"
164,Integrate Researcher at CIC.DIGITAL - Universidade do Porto
165,"Faculty of Physics, University of Tabriz, Tabriz, Iran"
166,"Specially Appointed Assistant Professor at Division of Global Epidemiology, Hokkaido University"
167,Estudiante de Ingeniería Ambiental Universidad Ecci
