article_id,title,cited_by,pub_year
1,"Morphometrical diagnosis of the malaria vectors Anopheles cruzii, An. homunculus and An. bellator",146,2012
2,Champollion: A Robust Parallel Text Sentence Aligner.,542,2006
3,Towards more accurate molecular dynamics calculation of thermal conductivity: Case study of GaN bulk crystals,1028,2009
4,"Refinement, Reliability, and Validity of the Segmental Assessment of Trunk Control",641,1970
5,Effect of clopidogrel added to aspirin in patients with atrial fibrillation,2661,2009
6,The fusiform face area is not sufficient for face recognition: evidence from a patient with dense prosopagnosia and no occipital face area,1011,2006
7,Stability of metal halide perovskite solar cells,2566,2015
8,"Cytogenetic and molecular analyses reveal a divergence between Acromyrmex striatus (Roger, 1863) and other congeneric species: taxonomic implications",294,2013
9,Monocopper center embedded in a biomimetic cavity: From supramolecular control of copper coordination to redox regulation,720,2007
10,"Methylphenidate administration to juvenile rats alters brain areas involved in cognition, motivated behaviors, appetite, and stress",600,2007
11,A constrained sequential-lamination algorithm for the simulation of sub-grid microstructure in martensitic materials,1028,2003
12,"Knowledge, attitude, and practice of Iranian surgeons about blood-borne diseases",116,2009
13,Progress in computational toxicology,278,2014
14,Bits: A method for bilingual text search over the web,542,1999
15,Geometric morphometrics in mosquitoes: What has been measured?,146,2017
16,Head stability during quiet sitting in children with cerebral palsy: effect of vision and trunk support,641,2010
17,Whole blood coagulation thrombelastographic profiles employing minimal tissue factor activation,1028,2003
18,Analysis of powered two-wheeler crashes in Italy by classification trees and rules discovery,572,2012
19,Cohesion in group psychotherapy.,2886,1970
20,Ischemic injury in experimental stroke depends on angiotensin II,2661,2002
21,Tuning the light emission properties by band gap engineering in hybrid lead halide perovskite,2566,2014
22,Challenges in designing and implementation of an effective Ambient Assisted Living system,97,2015
23,"Repeated administration of methylphenidate in young, adolescent, and mature rats affects the response to cocaine later in adulthood",600,2005
24,Behavioral and neuroimaging evidence for a contribution of color and texture information to scene classification in a patient with visual form agnosia,1011,2004
25,Aquifer characterisation using Surface NMR jointly with other geophysical techniques at the Nauen/Berlin test site,2556,2002
26,Palladium nanoparticles supported in a polymeric membrane: an efficient phosphine-free “green” catalyst for Suzuki–Miyaura reactions in water,290,1970
27,Experiments to determine modes of cohesive sediment transport in salt water,1382,1962
28,The end of bank secrecy? An Evaluation of the G20 tax haven crackdown,1033,1970
29,"From light to rich ere: annotation of entities, relations, and events",542,2015
30,"Use of manihot esculenta, crantz processing residue as biofertilizer in corn crops",294,1970
31,Electrochemically triggered double translocation of two different metal ions with a ditopic calix [6] arene ligand,720,2010
32,Eigenfrequency optimization in optimal design,1028,2001
33,The invention of politics in colonial Malaya: Contesting nationalism and the expansion of the public sphere,2452,2002
34,The interaction between executive attention and postural control in dual-task conditions: children with cerebral palsy,641,2008
35,Artificial Neural Network applied as a methodology of mosquito species identification,146,2015
36,Reversal of the International Normalized Ratio with recombinant activated factor VII in central nervous system bleeding during warfarin thromboprophylaxis: clinical and …,1028,2003
37,"Simulator evaluation of drivers’ speed, deceleration and lateral position at rural intersections in relation to different perceptual cues",572,2011
38,"Group climate, cohesion, alliance, and empathy in group psychotherapy: Multilevel structural equation models.",2886,2005
39,Pharmacokinetic and pharmacodynamic drug interactions with new oral anticoagulants: what do they mean for patients with atrial fibrillation?,278,2013
40,"Changes in the phosphorylation of initiation factor eIF‐2α, elongation factor eEF‐2 and p70 S6 kinase after transient focal cerebral ischaemia in mice",2661,2001
41,Median plane localization using a parametric model of the head-related transfer function based on spectral cues,1005,2007
42,"Charge selective contacts, mobile ions and anomalous hysteresis in organic–inorganic perovskite solar cells",2566,1970
43,Predicting response to HBV vaccination in people with positive anti-HBc but negative HBsAg and anti-HBs,116,2008
44,QT inversion—Comprehensive use of the complete surface NMR data set,2556,2010
45,Vision with one eye: a review of visual function following unilateral enucleation,1011,2008
46,"TableTrans, MultiTrans, InterTrans and TreeTrans: Diverse tools built on the annotation graph toolkit",542,2002
47,Blurred image regions detection using wavelet-based histograms and SVM,97,2011
49,Ultrastructural localization of extranuclear progestin receptors in the rat hippocampal formation,600,2008
50,Mimicking the protein access channel to a metal center: effect of a funnel complex on dissociative versus associative copper redox chemistry,720,2009
51,A summary review of wireless sensors and sensor networks for structural health monitoring,4119,2006
52,Real-time recognition of hand alphabet gestures using principal component analysis,1382,1997
53,A mixed NCP pincer palladacycle as catalyst precursor for the coupling of aryl halides with aryl boronic acids,290,2006
54,Evaluation of milk urea concentration as useful indicator for dairy herd management: A review,286,2011
56,Kerajaan: Malay political culture on the eve of colonial rule,2452,1970
57,Ischemia induces a translocation of the splicing factor tra2-β1 and changes alternative splicing patterns in the brain,2661,2002
58,Ant community composition and its relationship with phytophysiognomies in a Brazilian Restinga,294,2010
59,Streamwise-travelling waves of spanwise wall velocity for turbulent drag reduction,359,2009
60,17.6% stabilized efficiency in low-temperature processed planar perovskite solar cells,2566,1970
61,Traffic calming along rural highways crossing small urban communities: Driving simulator experiment,572,2010
62,Withdrawal symptoms after gabapentin discontinuation,278,2010
63,Eye hand coordination in children with cerebral palsy,641,2009
64,Surface NMR within a geophysical study of an aquifer at Haldensleben (Germany),2556,1999
65,Tax evasion and inequality,1033,1970
66,Mechanical heart valve cavitation,1028,2004
67,Spatial and temporal epidemiology of malaria in extra-Amazonian regions of Brazil,146,2015
68,"“Objectivity” and “hard news” reporting across cultures: Comparing the news report in English, French, Japanese and Indonesian journalism",404,2008
69,A practical evaluation method of auditory source width in concert halls,1005,1970
70,Recent advances in bulk heterojunction polymer solar cells,2312,2015
