author_id,article_id,author_num
1,1,1
3,2,1
2,3,2
195,3,3
8861,4,3
8,6,1
20,6,8
7,8,2
9,9,1
10,10,13
2,11,1
3,14,1
1,15,1
4,16,1
14,17,2
12,19,3
6,21,3
16,22,2
8,24,1
20,24,5
21,25,1
19,26,6
17,28,1
3803,29,6
3,29,10
7,30,2
2437,30,4
9,31,2
2,32,2
20,33,1
4,34,4
1,35,1
14,36,2
12,38,1
5,40,4
22,41,1
875,42,1
6349,42,7
6,42,8
13,43,3
21,44,2
8,45,1
4102,45,2
3,46,3
58,46,4
16,47,2
4704,49,1
9,50,1
24,51,2
18,52,3
19,53,1
845,53,4
9663,53,5
23,54,1
777,54,3
20,56,1
5,57,4
7,58,1
25,59,3
6,60,7
4,63,1
6700,63,2
21,64,1
17,65,2
14,66,1
1,67,1
27,68,1
22,69,2
3288,70,1
26,70,3
2475,70,6
3,71,1
58,71,2
8,73,1
20,73,6
10,74,5
13,75,2
9,76,1
708,77,1
2771,77,4
7742,77,5
16,78,1
31,79,2
2,80,1
5902,80,2
18,81,1
24,83,1
984,83,2
12,84,2
1,85,1
21,86,2
20,87,1
14,88,6
23,89,1
1933,90,1
30,90,2
5950,90,3
4,91,3
7,92,1
8204,93,5
4704,93,11
26,94,1
2357,94,4
2475,94,5
32,95,6
3,96,3
58,96,4
8,97,2
6,98,7
15,99,3
22,100,5
27,101,2
25,102,1
17,104,2
708,105,3
2771,105,5
7742,105,6
2,106,1
34,107,2
9,108,1
33,109,2
7511,110,4
1,112,1
19,113,1
845,113,3
9663,113,4
959,115,2
24,115,3
12,116,2
5,117,2
18,118,4
31,119,2
16,120,4
38,121,4
21,122,2
10,123,1
4704,123,4
4,124,1
4854,125,1
26,125,3
7547,125,4
7817,125,5
2771,125,6
2475,125,7
23,126,1
22,127,2
1878,128,4
6,128,5
14,129,3
20,130,1
27,131,1
1933,132,1
2182,132,2
2155,132,3
30,132,5
5338,132,7
7758,132,8
9,133,7
7,134,1
15,135,3
8,136,2
6001,137,4
3,138,1
8751,139,1
34,139,5
17,140,1
25,141,1
2649,142,9
36,143,2
3214,143,9
1,144,1
39,145,1
12,146,3
1974,147,1
2,147,2
13,149,2
