author_id,author_name,cited_by
1,Camila Lorenz,146
2,Sylvie Aubry,1028
3,Xiaoyi Ma,542
4,Sandra Saavedra,641
5,László Oláh,2661
6,Michele De Bastiani,2566
7,Danon Clemes Cardoso,294
8,Jennifer Steeves,1011
9,Nicolas Le Poul,720
10,Annelyn Torres-Reveron,600
11,thaddaus hellwig,278
12,Jennifer E Johnson,2886
13,Amir Hosein Faghihi Kashani,116
14,Peter Johansen,1028
15,Antonio D'Ambrosio,572
16,Krasimir Tonchev,97
17,Niels Johannesen,1033
18,Claus Brøndgaard Madsen,1382
19,Gilber Ricardo Rosa,290
20,Anthony Milner,2452
21,Ugur Yaramanci,2556
22,Kazuhiro Iida,1005
23,Biswajit Roy,286
24,Kenneth Loh,4119
25,Claudio Viotti,359
26,Qinghe Wu,2312
27,Elizabeth Thomson,404
28,Liangzhi chen,30
29,Jacques andre astolfi,1103
30,Li-Wei Ko,2858
31,Jian-Sheng Wang,14812
32,Javid Gaziev,3221
33,Salem Djedidi,175
34,Christopher Jarrold,10480
35,Jorge Charco Aguirre,2
36,Andrei Steindorff,660
37,Hiroshi KIHIRA,1572
38,Parisa Fathi Rezaei,228
39,Amr Zidan,1
40,Ehsan Ahmadi,1211
41,Fabio Orlandi,1153
42,Yoshikazu Fukuyama,6000
43,Rukiye Uzun,80
44,Ralf Wimmer,905
45,Song-Ping Zhu,2497
46,"ju won kang, jw kang, 강주원",109
47,NanShan Chang,3489
48,Hajime Nakamura,681
49,Takeshi Bamba,5425
50,Sarah L. Buglass,95
51,Shaobin Wang,29877
52,jianhui wu,1413
53,Mersini Makropoulou,877
54,Ronald K. Vogel,1885
55,Moises Ramos-Solano,98
56,JOSÉ BALIBREA-INIESTA,95
57,Vitor Hugo Balasco Serrão,76
58,Hyo-Jong Lee,709
59,Jessica Serra,106
60,M. Harrison,41465
61,"Steininger, Karl",1999
62,Dennis A. Bazylinski,14521
63,Zhang Xiao 张翛,13987
64,Todd D Ringler,2481
65,chien-hsien chen,661
66,Louiza Bohn Thomsen,373
67,Xudong Wang,18325
68,Ruey-Bing Yang,10413
69,Dana Grosswirth Kachtan,43
70,Luis Cordero-Arias,434
71,Nazih Richani,1042
72,Krishelle Marc-Aurele MD,60
73,Prof. Best Ordinioha,147
74,antonio jose mezcua lopez,35
75,Ana Fragata,250
76,Prof. Dr. Darius P. Zlotos,894
77,Daniel Kotlar,558
78,Ashley Glen Lewis,208
79,Elizabeth Pattey,7167
80,Jes Olesen,74403
81,stefano ricagno,1611
82,Dr. Manoj Kumar Jhariya,469
83,Malik Naumann,1491
84,Robert Kennicutt,60140
85,Ashley Lewis,3
86,Hideaki Yoshimura,528
87,Monica zuluaga quintero,61
88,Patrick Keyzer,479
89,Fabrizio Biondi,167
90,"Claudia Zelaschi, Ph.D.",70
91,Minggang Hu,293
92,Larissa Modica,71
93,Simon Mair,63
94,Andrey Afanasyev,241
95,Hanan Tork,131
96,Sarah Richardson,4213
97,Ana Maria Risco,32
98,Caroline Almeida Souza,13
99,Abdelkader Nasreddine Belkacem,116
100,Nathan Shapiro,17481
101,Fajer Mushtaq,459
102,Ming-June Tsai,1403
103,Jerry Davis,30888
104,Honglei Xu,892
105,Dr. Hanumesh Vaidya,226
106,Alexey Kuvshinov,40
107,Alexandre Megiorin Roma,956
108,Yuanda Dong (董远达),2396
109,Holger Hoos,23694
110,Titilayo Fashemi,154
111,Milena Tsvetkova,283
112,Yaroslav Kudryavtsev,1029
113,Sarmad Hussain,52804
114,Dae-Hee Kim,80
115,Loay Saeed,170
116,Romain Guilhaumou,155
117,Yen-Da Chen (陳彥達),149860
118,Chien Hung Lai (賴建宏),31145
119,ebru ulusoy,146
120,MARIA HELENA Verdan,176
121,Shahin Yazdani,4549
122,Javier Fernando Ramos Caro,177
123,Lucas Franco Ferreira,734
124,nina wolf,33
125,Francesco Visini,412
126,Jon Charterina,412
127,Frank Niesen,3506
128,Dr. Junjie Wang,693
129,Nyaz Aziz Ali,4
130,Shelley Brown,22
131,Lora A Richards,947
132,muthyala murali krishna kumar,27881
133,Kathleen Scanlon,1718
134,Gabriel Chávez-Cabello,489
135,Catherine Borshuk,120
136,Parisa Khani,69
137,Athanasios Mogias,153
138,Landon J Getz,10
139,Ana Tereza Bittencourt Guimarães,926
140,Carmen Sherry Brown,61
141,Mani Shehni Karam Zadeh,35
142,Sesha Raghavan Krishnamachari,100
143,Jonathan Kitchen,1776
144,Carlos Eduardo Maduro de Campos,1938
145,Omar Al-Harbi,16
146,Enrico Dall'Ara,1785
147,Rohan H C Palmer,754
148,Ramon Gimeno,1510
149,pornchai rachtanapun,1355
150,Carlo Albino Frigo,5027
151,Cameron E. Schwalbach,7
152,Johann de Bono,61072
153,Vladimir Pravosudov,3869
154,Sandra L Hanson,3024
155,Tania Lopez Silva,82
156,marco cantu',204
157,Petros Stavroulakis,510
158,Meisam Bahadori,450
159,Shuangying Zhang,122
160,Thirunavukkarasu Vedhagiri Shanmugam,1013
161,Paula Fernandes de Siqueira,264
162,Carlos Antonio Martinez Palacios,2536
163,Ommid Anamimoghadam,74
164,Nathaniel Edward Bennett Saidu,254
165,Rabab Zehra Jafri,386
166,Karl J.J. Mayrhofer,16195
167,Xingchen Hu,87
168,"Olena Myronycheva (Olena S. Myronycheva, Олена Мироничева, Е. Миронычева)",39
